backend,query_type,mean_ms,std_ms,ci95_ms,qps,qps_low,qps_high
memory,AND,0.3983,0.0092,0.0066,401675.9,395175.1,408394.2
memory,OR,835.8678,11.5611,8.2698,191.4,189.5,193.3
memory,ADJ,0.3247,0.0024,0.0017,492774.3,490155.2,495421.4
memory,NEAR,0.3863,0.0064,0.0046,414187.1,409361.8,419127.4
memory,BM25,462.2573,0.9924,0.7098,346.1,345.6,346.7
mmap-128m,AND,2.2127,0.0250,0.0179,72309.4,71730.0,72898.2
mmap-128m,OR,1161.7480,1.4483,1.0360,137.7,137.6,137.8
mmap-128m,ADJ,2.5752,0.1186,0.0848,62131.1,60149.9,64247.3
mmap-128m,NEAR,2.5642,0.0377,0.0269,62397.9,61749.4,63060.3
mmap-128m,BM25,525.7947,1.7772,1.2712,304.3,303.6,305.0
mmap-512m,AND,2.2092,0.0389,0.0279,72423.3,71521.6,73348.0
mmap-512m,OR,1164.1955,4.9036,3.5075,137.4,137.0,137.8
mmap-512m,ADJ,2.4212,0.0334,0.0239,66082.8,65436.2,66742.2
mmap-512m,NEAR,2.4908,0.0416,0.0298,64237.3,63478.5,65014.4
mmap-512m,BM25,531.4432,5.4302,3.8842,301.1,298.9,303.3
mmap-1024m,AND,2.2416,0.0315,0.0225,71377.9,70667.6,72102.7
mmap-1024m,OR,1174.6998,3.5853,2.5646,136.2,135.9,136.5
mmap-1024m,ADJ,2.4693,0.0362,0.0259,64795.9,64123.2,65482.7
mmap-1024m,NEAR,2.5408,0.0415,0.0297,62972.8,62245.7,63717.1
mmap-1024m,BM25,536.6610,12.5583,8.9831,298.1,293.2,303.2
