wand_factor,recall_at10,mean_ms,std_ms,ci95_ms,qps,qps_low,qps_high
exhaustive,1.000,386.3543,2.3290,1.6660,414.1,412.3,415.9
1.00,1.0000,410.3165,2.6732,1.9121,389.9,388.1,391.8
1.02,0.9425,369.4775,0.6889,0.4928,433.0,432.5,433.6
1.05,0.7094,197.6951,1.2986,0.9289,809.3,805.5,813.1
1.10,0.4731,68.6772,2.2619,1.6180,2329.7,2276.1,2386.0
1.20,0.3812,10.3763,0.2212,0.1582,15419.7,15188.1,15658.5
1.40,0.3756,2.4032,0.0206,0.0147,66578.4,66173.1,66988.8
1.70,0.3750,1.0271,0.0289,0.0207,155778.6,152703.5,158980.0
2.00,0.3750,0.7301,0.0039,0.0028,219152.4,218322.4,219988.7
3.00,0.3750,0.4587,0.0020,0.0014,348798.8,347729.5,349874.7
